date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id
20171231.0,455477.0,310.0,SOUTHFIRST BANK,SOUTHFIRST BK,1.0,6.0,SYLACAUGA,UNITED STATES,AL,OCC,0,2592376.0
20171231.0,455552.0,200.0,FARMERS AND MERCHANTS BANK,FARMERS & MRCHS BK,1.0,10.0,MILFORD,UNITED STATES,NE,FDIC,549300NQ6JHMRWQ5IH65,1416831.0
20171231.0,455879.0,300.0,"AMERICAN SAVINGS BANK, FSB",AMERICAN SVG BK FSB,1.0,4.0,PORTSMOUTH,UNITED STATES,OH,OCC,0,2506784.0
20171231.0,455945.0,200.0,BANK OF DELIGHT,BANK OF DELIGHT,1.0,8.0,DELIGHT,UNITED STATES,AR,FDIC,0,455945.0
20171231.0,455972.0,200.0,PEOPLES BANK,PEOPLES BK,1.0,12.0,BELLINGHAM,UNITED STATES,WA,FDIC,0,1030947.0
20171231.0,456045.0,200.0,CENTENNIAL BANK,CENTENNIAL BK,1.0,8.0,CONWAY,UNITED STATES,AR,FRS,549300BEFX6JRSCS5N78,1491409.0
20171231.0,456054.0,200.0,MINDEN EXCHANGE BANK & TRUST COMPANY,MINDEN EXCH B&TC,1.0,10.0,MINDEN,UNITED STATES,NE,FDIC,0,2540283.0
20171231.0,456157.0,200.0,PEOPLES BANK MIDWEST,PEOPLES BK MW,1.0,9.0,HAYWARD,UNITED STATES,WI,FRS,549300PE842EEE8LUJ85,1863659.0
20171231.0,456250.0,200.0,BANK OF SAINT ELIZABETH,BANK OF ST ELIZABETH,1.0,8.0,SAINT ELIZABETH,UNITED STATES,MO,FDIC,0,2851279.0
20171231.0,456344.0,200.0,HART COUNTY BANK AND TRUST COMPANY,HART COUNTY B&TC,1.0,8.0,MUNFORDVILLE,UNITED STATES,KY,FDIC,0,1118836.0
20171231.0,456755.0,200.0,EXCHANGE BANK AND TRUST COMPANY,EXCHANGE B&TC,1.0,10.0,PERRY,UNITED STATES,OK,FRS,0,1064175.0
20171231.0,457060.0,200.0,SPRING HILL STATE BANK,SPRING HILL ST BK,1.0,11.0,LONGVIEW,UNITED STATES,TX,FDIC,0,2693929.0
20171231.0,457220.0,200.0,"FARMERS SAVINGS BANK, THE",FARMERS SVG BK,1.0,4.0,SPENCER,UNITED STATES,OH,FDIC,0,457220.0
20171231.0,457426.0,200.0,ENTERPRISE BANK OF SOUTH CAROLINA,ENTERPRISE BK OF SC,1.0,5.0,EHRHARDT,UNITED STATES,SC,FDIC,0,457426.0
20171231.0,457752.0,200.0,COULEE BANK,COULEE BK,1.0,9.0,LA CROSSE,UNITED STATES,WI,FDIC,5493002B2O407LCTBX72,1126989.0
20171231.0,458142.0,200.0,HORATIO STATE BANK,HORATIO ST BK,1.0,8.0,HORATIO,UNITED STATES,AR,FDIC,0,1139091.0
20171231.0,458544.0,200.0,FIRST SERVICE BANK,FIRST SVC BK,1.0,8.0,GREENBRIER,UNITED STATES,AR,FDIC,549300W2LKZKSX67ZU02,1137266.0
20171231.0,458553.0,200.0,"FARMERS BANK OF OSBORNE, KANSAS, THE",FARMERS BK OF OSBORNE KS,1.0,10.0,OSBORNE,UNITED STATES,KS,FDIC,0,1055717.0
