date,id_call,charter_type_call,name_legal_call,name_call,org_type_call,fed_district_code_call,city_call,country_call,state_call,fed_regulator2_call,lei_call,parent_id_call,common_id,id,fed_district_code,NONINTEREST-BEARING DEPOSITS (BHC CONSOL. FOREIGN OFC.),INTEREST-BEARING DEPOSITS (BHC CONSOL. U.S. OFC),charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
20171231.0,3229875.0,250.0,FIRST NATIONAL TRUST COMPANY,FIRST NAT TR CO,1.0,0.0,HERMITAGE,UNITED STATES,PA,OCC,0,3005332.0,3005332.0,3005332,4,5720030.0,16679695.0,500,PITTSBURGH,UNITED STATES,0,PCYSKIGYNYFDTBLVZU83,F.N.B. CORPORATION,FNB CORP,1,FRS,PA
20171231.0,386450.0,200.0,FIVE POINTS BANK OF HASTINGS,FIVE POINTS BK,1.0,10.0,HASTINGS,UNITED STATES,NE,FRS,0,2482196.0,2482196.0,2482196,10,210829.0,908723.0,500,GRAND ISLAND,UNITED STATES,0,0,HOMETOWN BANC CORP,HOMETOWN BC,1,FRS,NE
20171231.0,554857.0,200.0,FIVE POINTS BANK,FIVE POINTS BK,1.0,10.0,GRAND ISLAND,UNITED STATES,NE,FRS,0,2482196.0,2482196.0,2482196,10,210829.0,908723.0,500,GRAND ISLAND,UNITED STATES,0,0,HOMETOWN BANC CORP,HOMETOWN BC,1,FRS,NE
20171231.0,391575.0,300.0,"UNITED FIDELITY BANK, FSB",UNITED FIDELITY BK FSB,1.0,8.0,EVANSVILLE,UNITED STATES,IN,OCC,549300RV3BMT6ES6TO70,3848931.0,3848931.0,3848931,7,171037.0,357467.0,500,CARMEL,UNITED STATES,0,0,"PEDCOR FINANCIAL, LLC",PEDCOR FNCL LLC,11,FRS,IN
20171231.0,395238.0,200.0,SYNOVUS BANK,SYNOVUS BK,1.0,6.0,COLUMBUS,UNITED STATES,GA,FRS,DX0JX77PRMOELF7VG772,1078846.0,1078846.0,1078846,6,7686339.0,18461561.0,500,COLUMBUS,UNITED STATES,0,549300EIUS8UN5JTLE54,SYNOVUS FINANCIAL CORP.,SYNOVUS FC,1,FRS,GA
20171231.0,2262718.0,250.0,"SYNOVUS TRUST COMPANY, NATIONAL ASSOCIATION",SYNOVUS TC NA,1.0,0.0,COLUMBUS,UNITED STATES,GA,OCC,0,1078846.0,1078846.0,1078846,6,7686339.0,18461561.0,500,COLUMBUS,UNITED STATES,0,549300EIUS8UN5JTLE54,SYNOVUS FINANCIAL CORP.,SYNOVUS FC,1,FRS,GA
20171231.0,398668.0,200.0,"BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE",BANK OF NY MELLON TC NA,1.0,12.0,LOS ANGELES,UNITED STATES,CA,OCC,0,3587146.0,3587146.0,3587146,2,77296000.0,52294000.0,500,NEW YORK,UNITED STATES,0,WFLLPEPC7FZXENRZV188,"BANK OF NEW YORK MELLON CORPORATION, THE",BANK OF NY MELLON CORP,1,FRS,NY
20171231.0,488318.0,200.0,BNY MELLON TRUST OF DELAWARE,BNY MELLON TR OF DE,1.0,3.0,WILMINGTON,UNITED STATES,DE,FDIC,0,3587146.0,3587146.0,3587146,2,77296000.0,52294000.0,500,NEW YORK,UNITED STATES,0,WFLLPEPC7FZXENRZV188,"BANK OF NEW YORK MELLON CORPORATION, THE",BANK OF NY MELLON CORP,1,FRS,NY
20171231.0,541101.0,200.0,"BANK OF NEW YORK MELLON, THE",BANK OF NY MELLON,1.0,2.0,NEW YORK,UNITED STATES,NY,FRS,HPFHU0OQ28E4N0NFVK49,3587146.0,3587146.0,3587146,2,77296000.0,52294000.0,500,NEW YORK,UNITED STATES,0,WFLLPEPC7FZXENRZV188,"BANK OF NEW YORK MELLON CORPORATION, THE",BANK OF NY MELLON CORP,1,FRS,NY
20171231.0,720317.0,400.0,BNY INTERNATIONAL FINANCING CORPORATION,BNY INTL FINANCING CORP,1.0,2.0,NEW YORK,UNITED STATES,NY,FRS,0,3587146.0,3587146.0,3587146,2,77296000.0,52294000.0,500,NEW YORK,UNITED STATES,0,WFLLPEPC7FZXENRZV188,"BANK OF NEW YORK MELLON CORPORATION, THE",BANK OF NY MELLON CORP,1,FRS,NY
